epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.534,0.55546,0.66146,0.83212,0.82017,0.7644,0.85035,0.75959,0.49703,0.85829,0.79574,0.00028339,0.00028339,0.00028339
2,29.6105,0.56532,0.69114,0.83514,0.83471,0.74387,0.80635,0.69229,0.60415,0.77732,0.81276,0.000579007,0.000579007,0.000579007
3,42.4385,0.59274,0.68946,0.83583,0.84313,0.77482,0.83881,0.73375,0.55358,0.76974,0.8084,0.000870053,0.000870053,0.000870053
4,55.3075,0.57967,0.67866,0.84136,0.60047,0.73469,0.61156,0.51971,0.62416,1.53979,0.82264,0.00115653,0.00115653,0.00115653
5,67.249,0.67579,0.7795,0.8565,0.81674,0.69866,0.75612,0.66841,0.53567,0.97661,0.81597,0.00143844,0.00143844,0.00143844
6,80.216,0.59968,0.71278,0.84608,0.71332,0.79821,0.80179,0.70695,0.56032,0.78785,0.81553,0.00160353,0.00160353,0.00160353
7,92.2107,0.57317,0.74147,0.84333,0.74164,0.78659,0.80921,0.72284,0.5115,0.76455,0.80202,0.00159083,0.00159083,0.00159083
8,104.479,0.59662,0.7064,0.82927,0.73813,0.80072,0.829,0.74137,0.50862,0.84463,0.79827,0.00157814,0.00157814,0.00157814
9,116.757,0.57883,0.69998,0.83923,0.79923,0.76502,0.81746,0.7283,0.51663,0.81673,0.79971,0.00156544,0.00156544,0.00156544
10,129.741,0.5783,0.70655,0.82884,0.80116,0.74176,0.81504,0.73993,0.45915,0.95154,0.79081,0.00155275,0.00155275,0.00155275
11,141.954,0.57059,0.74962,0.82881,0.69104,0.75688,0.80276,0.72058,0.4768,0.89512,0.79317,0.00154005,0.00154005,0.00154005
12,154.993,0.55306,0.79065,0.83029,0.78038,0.76567,0.82005,0.72656,0.55203,0.82739,0.80892,0.00152736,0.00152736,0.00152736
13,167.208,0.56031,0.69064,0.82882,0.85658,0.71728,0.82853,0.7386,0.49905,1.02582,0.79675,0.00151466,0.00151466,0.00151466
14,179.381,0.56395,0.69646,0.83144,0.76712,0.76178,0.80318,0.71925,0.48741,0.94246,0.79642,0.00150197,0.00150197,0.00150197
15,191.618,0.5759,0.65437,0.83993,0.82932,0.71171,0.81728,0.74781,0.41095,0.7754,0.78697,0.00148927,0.00148927,0.00148927
16,204.627,0.56208,0.66262,0.83274,0.66808,0.82124,0.80727,0.71385,0.53204,0.89744,0.80471,0.00147658,0.00147658,0.00147658
17,216.688,0.56672,0.66427,0.83355,0.57779,0.8707,0.72712,0.65381,0.46979,1.44873,0.79311,0.00146388,0.00146388,0.00146388
18,228.82,0.56235,0.67204,0.83107,0.62429,0.7879,0.72555,0.65645,0.45134,1.21426,0.78983,0.00145119,0.00145119,0.00145119
19,241.123,0.54909,0.67092,0.82859,0.7401,0.78649,0.82329,0.75408,0.42962,0.77326,0.78899,0.00143849,0.00143849,0.00143849
20,254.498,0.54135,0.65825,0.82359,0.84573,0.65476,0.78234,0.70533,0.48516,1.12156,0.79857,0.0014258,0.0014258,0.0014258
21,266.799,0.5816,0.65908,0.83692,0.82656,0.70419,0.79077,0.70453,0.51891,0.97976,0.80217,0.0014131,0.0014131,0.0014131
22,279.809,0.56688,0.62554,0.83414,0.83165,0.70157,0.78339,0.70867,0.44054,1.01121,0.79174,0.00140041,0.00140041,0.00140041
23,291.921,0.54864,0.64361,0.82712,0.83436,0.74389,0.82558,0.74556,0.46667,0.79312,0.79005,0.00138771,0.00138771,0.00138771
24,304.125,0.55364,0.60274,0.82711,0.79037,0.79821,0.8366,0.76479,0.4535,0.76283,0.79112,0.00137502,0.00137502,0.00137502
25,316.54,0.54908,0.62051,0.83649,0.80027,0.73699,0.81745,0.74567,0.42182,0.7877,0.78518,0.00136232,0.00136232,0.00136232
26,329.42,0.54881,0.61207,0.82441,0.80782,0.76104,0.82352,0.75554,0.41263,0.77556,0.7844,0.00134963,0.00134963,0.00134963
27,341.648,0.52119,0.56746,0.82617,0.84587,0.76398,0.84085,0.75555,0.48306,0.73632,0.79532,0.00133693,0.00133693,0.00133693
28,354.848,0.53349,0.61303,0.83053,0.79593,0.76592,0.84272,0.76585,0.46309,0.73481,0.79533,0.00132424,0.00132424,0.00132424
29,372.212,0.54238,0.59173,0.83009,0.83781,0.75631,0.82789,0.76016,0.42583,0.75312,0.78675,0.00131154,0.00131154,0.00131154
30,385.658,0.55272,0.61493,0.82729,0.75937,0.79981,0.83105,0.76601,0.40407,0.73437,0.78358,0.00129885,0.00129885,0.00129885
31,398.725,0.53572,0.6144,0.82304,0.79361,0.73537,0.83936,0.76234,0.45822,0.76221,0.79071,0.00128615,0.00128615,0.00128615
32,412.078,0.52457,0.59142,0.81779,0.77428,0.80092,0.84714,0.76992,0.46019,0.70717,0.79177,0.00127346,0.00127346,0.00127346
